investor,feature,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
foreign,loss_aversion,0.286991888201899,0.14726756788799777,1.0,0.0,positive,1.0
foreign,herd,-0.14419877255956332,0.043968578396714524,0.0,1.0,negative,1.0
foreign,momentum,0.11201877747144964,0.0451626421946011,1.0,0.0,positive,1.0
foreign,volatility,-0.07856145596856044,0.04584974403271082,0.044444444444444446,0.9555555555555556,negative,0.9555555555555556
institution,loss_aversion,-0.028250255236505633,0.033583457871204446,0.2222222222222222,0.7777777777777778,negative,0.7777777777777778
institution,herd,-0.04747088766760296,0.021883098089597562,0.0,1.0,negative,1.0
institution,momentum,-0.045188090996816754,0.029883675236235134,0.06666666666666667,0.9333333333333333,negative,0.9333333333333333
institution,volatility,-0.022181242159826475,0.02714864421301003,0.2222222222222222,0.7777777777777778,negative,0.7777777777777778
retail,loss_aversion,-0.07202631982444371,0.08450732291013435,0.2,0.8,negative,0.8
retail,herd,-0.1647665666209327,0.03583114287161538,0.0,1.0,negative,1.0
retail,momentum,-0.05906122188704709,0.03345126650725554,0.044444444444444446,0.9555555555555556,negative,0.9555555555555556
retail,volatility,0.10053781655927499,0.04635705318591267,1.0,0.0,positive,1.0
