split,investor,initial_nll,final_nll,nll_drop,convergence_epoch,total_epochs
split_00,foreign,0.685761,0.626933,0.058828,16,200
split_00,institution,0.693178,0.691979,0.001199,3,200
split_00,retail,0.6875,0.662193,0.025307,3,200
split_01,foreign,0.684084,0.627854,0.05623,14,200
split_01,institution,0.694036,0.685862,0.008174,4,200
split_01,retail,0.684657,0.656631,0.028026,9,200
split_02,foreign,0.685312,0.624963,0.060349,13,200
split_02,institution,0.692499,0.682307,0.010192,5,200
split_02,retail,0.689417,0.662264,0.027153,11,200
split_03,foreign,0.685213,0.624075,0.061138,13,200
split_03,institution,0.692124,0.685007,0.007117,3,200
split_03,retail,0.688436,0.663512,0.024924,9,200
split_04,foreign,0.686969,0.625051,0.061918,15,200
split_04,institution,0.69259,0.684285,0.008305,5,200
split_04,retail,0.68631,0.650619,0.035691,11,200
split_05,foreign,0.686452,0.638411,0.048041,12,200
split_05,institution,0.691993,0.678494,0.013499,4,200
split_05,retail,0.689295,0.664569,0.024726,10,200
split_06,foreign,0.684975,0.628287,0.056688,12,200
split_06,institution,0.691634,0.682375,0.009259,5,200
split_06,retail,0.691055,0.658501,0.032554,10,200
split_07,foreign,0.683185,0.625095,0.05809,15,200
split_07,institution,0.693325,0.68305,0.010275,5,200
split_07,retail,0.686648,0.652585,0.034063,11,200
split_08,foreign,0.682426,0.624452,0.057974,24,200
split_08,institution,0.693038,0.688586,0.004452,2,200
split_08,retail,0.686955,0.661877,0.025078,13,200
split_09,foreign,0.682048,0.623072,0.058976,17,200
split_09,institution,0.694227,0.696048,-0.001821,6,200
split_09,retail,0.687417,0.662727,0.02469,4,200
split_10,foreign,0.681807,0.614877,0.06693,15,200
split_10,institution,0.691751,0.684788,0.006963,3,200
split_10,retail,0.68717,0.660926,0.026244,9,200
split_11,foreign,0.682909,0.615634,0.067275,14,200
split_11,institution,0.694291,0.687161,0.00713,4,200
split_11,retail,0.688092,0.662553,0.025539,10,200
split_12,foreign,0.683411,0.616906,0.066505,15,200
split_12,institution,0.69387,0.687645,0.006225,5,200
split_12,retail,0.685633,0.649724,0.035909,9,200
split_13,foreign,0.685838,0.63206,0.053778,12,200
split_13,institution,0.691655,0.682357,0.009298,4,200
split_13,retail,0.68952,0.665606,0.023914,8,200
split_14,foreign,0.684077,0.62315,0.060927,13,200
split_14,institution,0.692226,0.685698,0.006528,3,200
split_14,retail,0.687129,0.656459,0.03067,9,200
split_15,foreign,0.681868,0.614221,0.067647,15,200
split_15,institution,0.694668,0.685681,0.008987,4,200
split_15,retail,0.685774,0.652539,0.033235,10,200
split_16,foreign,0.681178,0.604695,0.076483,14,200
split_16,institution,0.693304,0.684205,0.009099,4,200
split_16,retail,0.684498,0.647025,0.037473,10,200
split_17,foreign,0.680966,0.629889,0.051077,7,200
split_17,institution,0.694305,0.686889,0.007416,2,200
split_17,retail,0.687496,0.667818,0.019678,13,200
split_18,foreign,0.681951,0.621807,0.060144,15,200
split_18,institution,0.6938,0.6859,0.0079,4,200
split_18,retail,0.689188,0.664402,0.024786,9,200
split_19,foreign,0.683448,0.623418,0.06003,15,200
split_19,institution,0.693439,0.688007,0.005432,3,200
split_19,retail,0.687498,0.651925,0.035573,11,200
split_20,foreign,0.683251,0.636946,0.046305,12,200
split_20,institution,0.693821,0.681201,0.01262,4,200
split_20,retail,0.689711,0.666247,0.023464,12,200
split_21,foreign,0.686124,0.627538,0.058586,14,200
split_21,institution,0.694013,0.685717,0.008296,4,200
split_21,retail,0.687466,0.658095,0.029371,11,200
split_22,foreign,0.681968,0.619919,0.062049,17,200
split_22,institution,0.694443,0.685945,0.008498,4,200
split_22,retail,0.686512,0.652431,0.034081,12,200
split_23,foreign,0.679789,0.612516,0.067273,13,200
split_23,institution,0.693268,0.682182,0.011086,5,200
split_23,retail,0.68536,0.647686,0.037674,10,200
split_24,foreign,0.685298,0.622752,0.062546,22,200
split_24,institution,0.693575,0.688638,0.004937,2,200
split_24,retail,0.68824,0.671888,0.016352,4,200
split_25,foreign,0.680819,0.619308,0.061511,15,200
split_25,institution,0.693949,0.684865,0.009084,4,200
split_25,retail,0.688032,0.657084,0.030948,11,200
split_26,foreign,0.685457,0.632836,0.052621,13,200
split_26,institution,0.693574,0.677504,0.01607,5,200
split_26,retail,0.688134,0.671096,0.017038,8,200
split_27,foreign,0.683181,0.622549,0.060632,15,200
split_27,institution,0.693707,0.682518,0.011189,6,200
split_27,retail,0.688753,0.663915,0.024838,9,200
split_28,foreign,0.683202,0.617772,0.06543,17,200
split_28,institution,0.690825,0.681992,0.008833,5,200
split_28,retail,0.686041,0.659354,0.026687,10,200
split_29,foreign,0.680554,0.607944,0.07261,14,200
split_29,institution,0.692825,0.68174,0.011085,5,200
split_29,retail,0.688934,0.655671,0.033263,11,200
split_30,foreign,0.682243,0.622108,0.060135,30,200
split_30,institution,0.695256,0.69425,0.001006,12,200
split_30,retail,0.686838,0.66004,0.026798,11,200
split_31,foreign,0.683194,0.630478,0.052716,13,200
split_31,institution,0.691307,0.678893,0.012414,5,200
split_31,retail,0.6889,0.672207,0.016693,8,200
split_32,foreign,0.683091,0.621067,0.062024,15,200
split_32,institution,0.692577,0.684501,0.008076,5,200
split_32,retail,0.689062,0.664645,0.024417,8,200
split_33,foreign,0.682422,0.617257,0.065165,18,200
split_33,institution,0.693038,0.684122,0.008916,4,200
split_33,retail,0.689575,0.660226,0.029349,11,200
split_34,foreign,0.680566,0.612018,0.068548,14,200
split_34,institution,0.692861,0.682698,0.010163,5,200
split_34,retail,0.686936,0.659821,0.027115,9,200
split_35,foreign,0.682953,0.636864,0.046089,31,200
split_35,institution,0.691095,0.686252,0.004843,2,200
split_35,retail,0.687554,0.664891,0.022663,8,200
split_36,foreign,0.681742,0.62181,0.059932,15,200
split_36,institution,0.697028,0.685527,0.011501,7,200
split_36,retail,0.686028,0.652452,0.033576,10,200
split_37,foreign,0.682389,0.618836,0.063553,17,200
split_37,institution,0.69475,0.684993,0.009757,5,200
split_37,retail,0.685969,0.647242,0.038727,12,200
split_38,foreign,0.683381,0.6125,0.070881,14,200
split_38,institution,0.692878,0.68569,0.007188,4,200
split_38,retail,0.686813,0.643586,0.043227,12,200
split_39,foreign,0.683299,0.633801,0.049498,26,200
split_39,institution,0.692538,0.683767,0.008771,10,200
split_39,retail,0.691416,0.67435,0.017066,6,200
split_40,foreign,0.684073,0.63332,0.050753,13,200
split_40,institution,0.689986,0.677764,0.012222,5,200
split_40,retail,0.689842,0.662698,0.027144,10,200
split_41,foreign,0.685252,0.62607,0.059182,12,200
split_41,institution,0.691781,0.677407,0.014374,6,200
split_41,retail,0.687627,0.659854,0.027773,11,200
split_42,foreign,0.686566,0.628352,0.058214,33,200
split_42,institution,0.692834,0.684519,0.008315,20,200
split_42,retail,0.68723,0.659144,0.028086,15,200
split_43,foreign,0.682497,0.612942,0.069555,13,200
split_43,institution,0.691909,0.680928,0.010981,6,200
split_43,retail,0.686951,0.652236,0.034715,9,200
split_44,foreign,0.679303,0.619092,0.060211,10,200
split_44,institution,0.692649,0.686582,0.006067,2,200
split_44,retail,0.686244,0.652089,0.034155,20,200
