variant,rmse,rmse_std,nrmse,nrmse_std,rmse_skill,rmse_skill_std,mse_skill,mse_skill_std,mae_skill,mae_skill_std,direction_accuracy,direction_accuracy_std,balanced_accuracy,balanced_accuracy_std,macro_f1,macro_f1_std,pearson,pearson_std,spearman,spearman_std,std_ratio,std_ratio_std,tail_direction_accuracy,tail_direction_accuracy_std
t0_ep10_lr0p0005_l10p01,0.1239621079909098,0.011771339024985289,1.000917305884581,0.010786033730725465,0.010135525282718258,0.010768976996168531,0.02005492925095292,0.021237666779395037,0.007459148852985425,0.011481632259757051,0.5546391752577319,0.028967165865409542,0.540617027105765,0.028998749048080797,0.5340203524518131,0.033285914499884106,0.1310068715851115,0.06840569418190542,0.13064379931296785,0.05957379526921957,0.08712288710477575,0.027929771732181804,0.6244807256235829,0.07203965946339383
t10_ep30_lr0p001_l10p01,0.1234314060329568,0.01144839299621622,0.9968934872848922,0.014443006958966872,0.014108310728816627,0.014837669191585608,0.027802314161408954,0.029193369706212113,0.01180907385290274,0.015591105258862592,0.563205819247475,0.02763380541601921,0.553549460259954,0.030600910498754484,0.547338765254024,0.03463120260551061,0.15906511749165078,0.06552925124802628,0.1502226198150414,0.06451237677372271,0.16358003154680986,0.03765926378263646,0.6334784580498866,0.0632468995241054
t1_ep50_lr0p0005_l10p01,0.12342836610307334,0.011454136452249823,0.9968566388281784,0.013842563884305924,0.01414627939576319,0.014156527109232632,0.02789648900570898,0.027843447835983772,0.011924045357722754,0.014853720402696417,0.5631244149062978,0.028405597985698208,0.5528598493486765,0.030384884620882006,0.5463780975812366,0.036209617019181344,0.15859012550571036,0.06594650608848764,0.15032874269751387,0.06443178981417094,0.15287031046085856,0.03682882831801121,0.6353015873015873,0.06734168879420263
t2_ep50_lr0p001_l10p01,0.12342505873511392,0.011497716508250646,0.9967945059767213,0.013647346007572673,0.014208630386814847,0.013903718013382067,0.028026359281354718,0.027339415916943156,0.011868934078936575,0.014625470567280406,0.5665399084782622,0.0302031315705741,0.5559814314350657,0.03382077821382134,0.55105897625606,0.037133722750730354,0.15753342340842144,0.06605552084405941,0.14963734056874314,0.06440700014275,0.15641908532298182,0.03410884982972399,0.6397913832199547,0.06607786250847678
t3_ep50_lr0p001_l10p003,0.12404734775879357,0.011802043634063336,1.0017140475875554,0.0183951827847548,0.009382784992460251,0.0161438051765918,0.01842270347568978,0.03200811024904344,0.006343300727035015,0.014646367325245688,0.5668922729836435,0.026736038432811304,0.5573731551259093,0.032787738421934234,0.5517992560592084,0.0347538954872926,0.15053594372809628,0.061890377981259785,0.15245302861364504,0.060520176514740905,0.2171630453217848,0.05868362868472732,0.6430929705215418,0.05831292719013534
t4_ep50_lr0p001_l10p001,0.12480741584577396,0.012142648290827795,1.007787815650814,0.024942870737143966,0.0034004565254433356,0.021926168498887153,0.006319277294693585,0.044450450798205005,0.00017567503852861717,0.01905058763152222,0.5632372180647861,0.028044423778971525,0.5539601177860567,0.03295732864975494,0.5476279807883148,0.03451206792313515,0.13943620340095367,0.060526092548273756,0.1462910086724087,0.05880257838229378,0.240700288853839,0.07434531429778855,0.6394920634920636,0.05446461207832981
t5_ep50_lr0p001_l10p0003,0.12518674412653957,0.012352914763753484,1.010794917022224,0.028090920537486,0.0004362058608345339,0.02489904932752726,0.0002660363416690083,0.051012607747944826,-0.002579297506241312,0.02126630319183459,0.5627825166733534,0.028613560624855795,0.5534289275443736,0.030491343430393135,0.5471028139805818,0.03214991446420641,0.13403279440747262,0.05997505868015758,0.14266690753101122,0.05739768797601123,0.24922123028844964,0.07966897638739306,0.6367981859410431,0.05528533764910773
t6_ep50_lr0p001_l10,0.1253689800586201,0.012456477477928917,1.0122433068277874,0.02968601499669487,-0.0009912930464497074,0.02641457835298214,-0.0026657930463164425,0.05438680994454666,-0.003907587293775289,0.022502536788229,0.5614096906053575,0.029295387850985264,0.5520923871187,0.031162729505443684,0.5457872961365501,0.033008740537401486,0.13155770594844365,0.059791817234628765,0.1407474262172334,0.05706335264709551,0.25300781950842693,0.08229305922161351,0.6345215419501135,0.05590038637335106
t7_ep20_lr0p0005_l10p01,0.12368706582566827,0.011510212197144761,0.9988964352094395,0.011806986709107145,0.01212483898591498,0.012573428150764426,0.023948089498096653,0.02480403653640993,0.009173476886905556,0.013336511541700685,0.5611334973049349,0.032060166178304116,0.5479945416539952,0.028870501454976338,0.5416434280299196,0.03416367939106421,0.1406463756163446,0.06764462868777431,0.13156214783808234,0.06372507594860066,0.1273062742667521,0.036076186928400686,0.6348571428571429,0.06829608336937767
t8_ep30_lr0p0005_l10p01,0.12358557528188155,0.011363234311297087,0.9981955876019121,0.012789661824008437,0.01281337323947931,0.013826321194037053,0.025275646119385216,0.02726004022749518,0.009970130493882458,0.014437681302592443,0.5654950256132945,0.029490711186984743,0.5538462355301187,0.028082416331319512,0.5470968324868575,0.033270871879689815,0.1493513558462113,0.06838948309348108,0.14122523180096935,0.06531535919121802,0.14137623066599508,0.03752713021156822,0.6438639455782312,0.06732054354282253
t9_ep20_lr0p001_l10p01,0.12354580768193617,0.011278256761291535,0.9979496544923998,0.014029527944048367,0.013055636555149845,0.01501969071371908,0.02572024665296583,0.029606353120914922,0.010402807185150473,0.015461396662999236,0.5657345869601874,0.02913829526110167,0.5547282373382635,0.030651720378090684,0.5478454560402012,0.03565353819838564,0.1533950602865445,0.06663601077369116,0.14545967905423898,0.0657198352347767,0.16167408025517246,0.04203088345688742,0.6447619047619049,0.06882314211908551
