seed,variant,investor,feature,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
42,e0_baseline,institution,underwater,-0.001049294934152,0.0010159076818359,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
42,e0_baseline,institution,herd,-0.0042098607298814,0.000589306172481,0.0,1.0,negative,1.0
42,e0_baseline,institution,momentum,-0.0007235870062787,0.001264701952959,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
42,e0_baseline,institution,volatility,0.0026454218362535,0.0018652973855087,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
42,e1_persistence,institution,underwater,-0.0009710338423448,0.0009521326624348,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
42,e1_persistence,institution,herd,-0.0038684977140898,0.0008197167737526,0.0,1.0,negative,1.0
42,e1_persistence,institution,momentum,-0.0008294257141339,0.0012687826301603,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
42,e1_persistence,institution,volatility,0.0025359396589111,0.0018648615706705,0.8666666666666667,0.1333333333333333,positive,0.8666666666666667
42,e1_persistence,institution,execution_persistence_3,0.004772901121113,6.218271211595421e-05,1.0,0.0,positive,1.0
42,e7_persistence_liquidity,institution,underwater,-0.0009547773911941,0.0009532482248418,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
42,e7_persistence_liquidity,institution,herd,-0.0038554575656437,0.0008279104334555,0.0,1.0,negative,1.0
42,e7_persistence_liquidity,institution,momentum,-0.0008184968594125,0.0012723765841104,0.1555555555555555,0.8444444444444444,negative,0.8444444444444444
42,e7_persistence_liquidity,institution,volatility,0.0025651040087622,0.001848440154607,0.8888888888888888,0.1111111111111111,positive,0.8888888888888888
42,e7_persistence_liquidity,institution,execution_persistence_3,0.004769836904274,6.218240430740325e-05,1.0,0.0,positive,1.0
43,e0_baseline,institution,underwater,-0.0010492950145918,0.0010159077190997,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
43,e0_baseline,institution,herd,-0.0042098607867956,0.0005893062267817,0.0,1.0,negative,1.0
43,e0_baseline,institution,momentum,-0.0007235870220433,0.0012647020330154,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
43,e0_baseline,institution,volatility,0.0026454219162891,0.0018652973867037,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
43,e1_persistence,institution,underwater,-0.0009710338969954,0.0009521326127499,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
43,e1_persistence,institution,herd,-0.0038684976752847,0.0008197168355641,0.0,1.0,negative,1.0
43,e1_persistence,institution,momentum,-0.0008294257253712,0.001268782658962,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
43,e1_persistence,institution,volatility,0.0025359397401593,0.0018648615644733,0.8666666666666667,0.1333333333333333,positive,0.8666666666666667
43,e1_persistence,institution,execution_persistence_3,0.0047729010900689,6.218274461473452e-05,1.0,0.0,positive,1.0
43,e7_persistence_liquidity,institution,underwater,-0.0009547774181959,0.0009532482782676,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
43,e7_persistence_liquidity,institution,herd,-0.0038554576380799,0.0008279105147893,0.0,1.0,negative,1.0
43,e7_persistence_liquidity,institution,momentum,-0.000818496883504,0.0012723766292309,0.1555555555555555,0.8444444444444444,negative,0.8444444444444444
43,e7_persistence_liquidity,institution,volatility,0.0025651040527413,0.0018484401536141,0.8888888888888888,0.1111111111111111,positive,0.8888888888888888
43,e7_persistence_liquidity,institution,execution_persistence_3,0.004769836883578,6.218240118071932e-05,1.0,0.0,positive,1.0
44,e0_baseline,institution,underwater,-0.0010492948438897,0.0010159076828995,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
44,e0_baseline,institution,herd,-0.0042098607712735,0.0005893062096628,0.0,1.0,negative,1.0
44,e0_baseline,institution,momentum,-0.0007235869647249,0.0012647019450323,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
44,e0_baseline,institution,volatility,0.002645421809575,0.0018652973654569,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
44,e1_persistence,institution,underwater,-0.0009710338677299,0.0009521325685781,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
44,e1_persistence,institution,herd,-0.0038684977270248,0.0008197168196985,0.0,1.0,negative,1.0
44,e1_persistence,institution,momentum,-0.0008294256986118,0.0012687826058369,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
44,e1_persistence,institution,volatility,0.0025359397346619,0.001864861597727,0.8666666666666667,0.1333333333333333,positive,0.8666666666666667
44,e1_persistence,institution,execution_persistence_3,0.0047729011832012,6.218270634281361e-05,1.0,0.0,positive,1.0
44,e7_persistence_liquidity,institution,underwater,-0.0009547774442277,0.0009532482472078,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
44,e7_persistence_liquidity,institution,herd,-0.0038554575759917,0.0008279104722739,0.0,1.0,negative,1.0
44,e7_persistence_liquidity,institution,momentum,-0.000818496857068,0.0012723766115918,0.1555555555555555,0.8444444444444444,negative,0.8444444444444444
44,e7_persistence_liquidity,institution,volatility,0.0025651040545199,0.0018484401937659,0.8888888888888888,0.1111111111111111,positive,0.8888888888888888
44,e7_persistence_liquidity,institution,execution_persistence_3,0.0047698367904457,6.218237785204141e-05,1.0,0.0,positive,1.0
45,e0_baseline,institution,underwater,-0.0010492949519377,0.0010159077397609,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
45,e0_baseline,institution,herd,-0.0042098607660995,0.0005893062466691,0.0,1.0,negative,1.0
45,e0_baseline,institution,momentum,-0.0007235869722434,0.0012647019475497,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
45,e0_baseline,institution,volatility,0.0026454218824963,0.0018652973689889,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
45,e1_persistence,institution,underwater,-0.0009710339347495,0.000952132610372,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
45,e1_persistence,institution,herd,-0.0038684976856327,0.0008197168302908,0.0,1.0,negative,1.0
45,e1_persistence,institution,momentum,-0.0008294257404082,0.0012687826169987,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
45,e1_persistence,institution,volatility,0.002535939682275,0.0018648614917035,0.8666666666666667,0.1333333333333333,positive,0.8666666666666667
45,e1_persistence,institution,execution_persistence_3,0.0047729011832012,6.218271891240359e-05,1.0,0.0,positive,1.0
45,e7_persistence_liquidity,institution,underwater,-0.0009547774110817,0.0009532482509998,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
45,e7_persistence_liquidity,institution,herd,-0.0038554575863397,0.0008279105165988,0.0,1.0,negative,1.0
45,e7_persistence_liquidity,institution,momentum,-0.0008184968644248,0.0012723765478786,0.1555555555555555,0.8444444444444444,negative,0.8444444444444444
45,e7_persistence_liquidity,institution,volatility,0.0025651040292965,0.0018484401979034,0.8888888888888888,0.1111111111111111,positive,0.8888888888888888
45,e7_persistence_liquidity,institution,execution_persistence_3,0.0047698368628819,6.218235371705588e-05,1.0,0.0,positive,1.0
46,e0_baseline,institution,underwater,-0.0010492949144665,0.0010159076335739,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
46,e0_baseline,institution,herd,-0.0042098607350554,0.0005893061806257,0.0,1.0,negative,1.0
46,e0_baseline,institution,momentum,-0.0007235869736177,0.0012647019527587,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
46,e0_baseline,institution,volatility,0.0026454219069111,0.0018652973782978,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
46,e1_persistence,institution,underwater,-0.0009710339567391,0.0009521326280699,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
46,e1_persistence,institution,herd,-0.0038684975821524,0.0008197168641456,0.0,1.0,negative,1.0
46,e1_persistence,institution,momentum,-0.0008294256991777,0.0012687826200304,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
46,e1_persistence,institution,volatility,0.0025359396542221,0.001864861578633,0.8666666666666667,0.1333333333333333,positive,0.8666666666666667
46,e1_persistence,institution,execution_persistence_3,0.0047729011625051,6.218274864854394e-05,1.0,0.0,positive,1.0
46,e7_persistence_liquidity,institution,underwater,-0.0009547773868285,0.0009532481820246,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
46,e7_persistence_liquidity,institution,herd,-0.0038554575785787,0.0008279105308129,0.0,1.0,negative,1.0
46,e7_persistence_liquidity,institution,momentum,-0.0008184968636164,0.0012723766596106,0.1555555555555555,0.8444444444444444,negative,0.8444444444444444
46,e7_persistence_liquidity,institution,volatility,0.0025651040189485,0.0018484401520734,0.8888888888888888,0.1111111111111111,positive,0.8888888888888888
46,e7_persistence_liquidity,institution,execution_persistence_3,0.0047698368421859,6.218234979670711e-05,1.0,0.0,positive,1.0
