seed,variant,rmse,rmse_std,nrmse,nrmse_std,rmse_skill,rmse_skill_std,mse_skill,mse_skill_std,mae_skill,mae_skill_std,direction_accuracy,direction_accuracy_std,balanced_accuracy,balanced_accuracy_std,macro_f1,macro_f1_std,pearson,pearson_std,spearman,spearman_std,std_ratio,std_ratio_std,tail_direction_accuracy,tail_direction_accuracy_std
42,e0_baseline,0.1246105025141314,0.0119385080704338,1.0060559831573312,0.0097516782725125,0.0050603609946581,0.009038784341168,0.0100152319515523,0.0179275170017771,0.0026801573442272,0.0107425052767441,0.5340659724039283,0.0492833217289664,0.5171811159363543,0.0413227859311727,0.5066163430610977,0.0444595945224903,0.0771491710863147,0.0762239864811535,0.0781780221441498,0.0738614244364133,0.0694450577497751,0.0292879584359935,0.5684444444444445,0.0913870177163978
42,e1_persistence,0.1239621079909098,0.0117713390249852,1.000917305884581,0.0107860337307254,0.0101355252827182,0.0107689769961685,0.0200549292509529,0.021237666779395,0.0074591488529854,0.011481632259757,0.5546391752577319,0.0289671658654095,0.540617027105765,0.0289987490480807,0.5340203524518131,0.0332859144998841,0.1310068715851115,0.0684056941819054,0.1306437993129678,0.0595737952692195,0.0871228871047757,0.0279297717321818,0.6244807256235829,0.0720396594633938
42,e7_persistence_liquidity,0.1239560098854456,0.01177142104011,1.0008683215070362,0.0108946560383761,0.0101852026620404,0.0107549345758427,0.020153570075224,0.0212092067981563,0.0071381418507761,0.0117362778727825,0.5574889086585145,0.0282277305452275,0.5431967849654334,0.0266399690714483,0.5370594469567067,0.0298713938410985,0.1320010056507024,0.0680007367977577,0.1328419242606205,0.0586145202197878,0.0886782185276116,0.0274020109329582,0.6253696145124716,0.071322155320089
43,e0_baseline,0.1246105025051638,0.0119385080570977,1.006055983094936,0.0097516786943974,0.0050603610660161,0.0090387836964369,0.0100152321049423,0.0179275157319317,0.0026801571868864,0.0107425047356793,0.5340659724039283,0.0492833217289664,0.5171811159363543,0.0413227859311727,0.5066163430610977,0.0444595945224903,0.0771491768391257,0.0762239841134599,0.0781780221441498,0.0738614244364133,0.0694450585805714,0.0292879624442161,0.5684444444444445,0.0913870177163978
43,e1_persistence,0.1239621079674023,0.0117713390220213,1.0009173056952394,0.0107860338248897,0.0101355254738477,0.0107689767297467,0.020054929634948,0.0212376662653845,0.0074591488503188,0.011481631715093,0.5546391752577319,0.0289671658654095,0.540617027105765,0.0289987490480807,0.5340203524518131,0.0332859144998841,0.131006877760569,0.0684056944515422,0.1306437993129678,0.0595737952692195,0.0871228873183057,0.0279297759658271,0.6244807256235829,0.0720396594633938
43,e7_persistence_liquidity,0.1239560099325658,0.0117714210161676,1.000868321906406,0.0108946565023128,0.0101852022788905,0.0107549339376809,0.0201535693301508,0.021209205591743,0.0071381411053589,0.011736277055585,0.5574889086585145,0.0282277305452275,0.5431967849654334,0.0266399690714483,0.5370594469567067,0.0298713938410985,0.1320010042288636,0.0680007378222821,0.1328419242606205,0.0586145202197878,0.0886782187804591,0.0274020115560589,0.6253696145124716,0.071322155320089
44,e0_baseline,0.1246105025096589,0.0119385080634357,1.0060559831252314,0.0097516782779568,0.0050603610320452,0.0090387837062809,0.0100152320371702,0.0179275157367303,0.0026801573895747,0.0107425043343888,0.5340659724039283,0.0492833217289664,0.5171811159363543,0.0413227859311727,0.5066163430610977,0.0444595945224903,0.0771491740382349,0.0762239802189297,0.0781780221441498,0.0738614244364133,0.0694450602551825,0.0292879624614553,0.5684444444444445,0.0913870177163978
44,e1_persistence,0.1239621079462837,0.0117713390325813,1.0009173055157932,0.0107860336081678,0.010135525640104,0.0107689775634788,0.0200549299465328,0.0212376678677972,0.0074591491023846,0.0114816324150566,0.5546391752577319,0.0289671658654095,0.540617027105765,0.0289987490480807,0.5340203524518131,0.0332859144998841,0.1310068763388946,0.0684056935701797,0.1306437993129678,0.0595737952692195,0.0871228892321009,0.0279297734744107,0.6244807256235829,0.0720396594633938
44,e7_persistence_liquidity,0.1239560098972421,0.0117714209942013,1.0008683216373453,0.010894656132487,0.0101852025334095,0.0107549346520884,0.0201535698189788,0.0212092069533998,0.0071381418958593,0.0117362779304285,0.5574889086585145,0.0282277305452275,0.5431967849654334,0.0266399690714483,0.5370594469567067,0.0298713938410985,0.1320010070630567,0.068000734540084,0.1328419242606205,0.0586145202197878,0.0886782191750217,0.0274020123544007,0.6253696145124716,0.071322155320089
45,e0_baseline,0.1246105025382502,0.0119385080415286,1.0060559833757636,0.0097516781825178,0.0050603607784574,0.0090387842874883,0.0100152315222878,0.0179275169096877,0.0026801572520402,0.0107425053138463,0.5340659724039283,0.0492833217289664,0.5171811159363543,0.0413227859311727,0.5066163430610977,0.0444595945224903,0.077149170976264,0.0762239816330052,0.0781780221441498,0.0738614244364133,0.0694450623534795,0.0292879626579081,0.5684444444444445,0.0913870177163978
45,e1_persistence,0.123962107960787,0.0117713390522115,1.0009173056202865,0.0107860341796695,0.010135525544889,0.0107689773544177,0.0200549297624354,0.0212376674791293,0.0074591488919897,0.0114816323114577,0.5546391752577319,0.0289671658654095,0.540617027105765,0.0289987490480807,0.5340203524518131,0.0332859144998841,0.1310068733834179,0.0684056983010636,0.1306437993129678,0.0595737952692195,0.0871228892218804,0.0279297748681835,0.6244807256235829,0.0720396594633938
45,e7_persistence_liquidity,0.123956009895259,0.0117714209896716,1.000868321623644,0.0108946562609006,0.0101852025541561,0.0107549340962824,0.0201535698717391,0.0212092058632099,0.007138141651499,0.0117362775536978,0.5574889086585145,0.0282277305452275,0.5431967849654334,0.0266399690714483,0.5370594469567067,0.0298713938410985,0.1320010057469104,0.0680007344169511,0.1328419242606205,0.0586145202197878,0.0886782195554962,0.0274020110113952,0.6253696145124716,0.071322155320089
46,e0_baseline,0.1246105025309256,0.0119385081008584,1.0060559832684344,0.0097516783127439,0.0050603608872219,0.009038784114337,0.0100152317417767,0.0179275165724571,0.0026801572761688,0.0107425051101687,0.5340659724039283,0.0492833217289664,0.5171811159363543,0.0413227859311727,0.5066163430610977,0.0444595945224903,0.0771491730999251,0.0762239873165141,0.0781780221441498,0.0738614244364133,0.069445060836563,0.0292879624575111,0.5684444444444445,0.0913870177163978
46,e1_persistence,0.1239621079524366,0.011771339054506,1.0009173055499294,0.0107860340846045,0.0101355256189251,0.0107689768311657,0.0200549299200263,0.0212376664392265,0.0074591491930499,0.0114816319442046,0.5546391752577319,0.0289671658654095,0.540617027105765,0.0289987490480807,0.5340203524518131,0.0332859144998841,0.1310068766745265,0.068405694309358,0.1306437993129678,0.0595737952692195,0.0871228869653877,0.0279297724992363,0.6244807256235829,0.0720396594633938
46,e7_persistence_liquidity,0.1239560099450793,0.0117714210681711,1.0008683219710015,0.0108946564326419,0.0101852022088904,0.0107549344193827,0.0201535691814455,0.0212092065059874,0.0071381415309527,0.0117362777317734,0.5574889086585145,0.0282277305452275,0.5431967849654334,0.0266399690714483,0.5370594469567067,0.0298713938410985,0.1320010025903192,0.0680007380772913,0.1328419242606205,0.0586145202197878,0.0886782189494807,0.0274020113363197,0.6253696145124716,0.071322155320089
