run,investor,metric,mean,std
no context,foreign,mae,0.1939458823466937,0.0153843956091591
no context,institution,mae,0.0944846468685109,0.0084300958467882
no context,retail,mae,0.267397894625188,0.0280074318182187
no context,foreign,rmse,0.2439505048822332,0.0166875402310942
no context,institution,rmse,0.1249192549114575,0.0121312812664642
no context,retail,rmse,0.3190450924636098,0.0285120989844326
no context,foreign,mse,0.0597841345201727,0.0080861233163122
no context,institution,mse,0.0157487178331294,0.0030216637063833
no context,retail,mse,0.1025846454849781,0.0176754084379683
no context,foreign,direction_accuracy,0.6344921822759491,0.0388302472155535
no context,institution,direction_accuracy,0.5250882364912403,0.0449955474208356
no context,retail,direction_accuracy,0.6009454532768155,0.0560050082187582
no context,foreign,correlation,0.2881946432786648,0.1087745887588512
no context,institution,correlation,0.0725328610274831,0.0728129789601756
no context,retail,correlation,0.2341265735435165,0.1183477441558811
no context,foreign,saturation_rate,0.0,0.0
no context,institution,saturation_rate,0.0,0.0
no context,retail,saturation_rate,0.0,0.0
default ctx (B only),foreign,mae,0.1956625396899231,0.0160384105908838
default ctx (B only),institution,mae,0.0944791734099831,0.0084706463920512
default ctx (B only),retail,mae,0.2666454944979121,0.0293328815281758
default ctx (B only),foreign,rmse,0.2463084024765958,0.0169957230900509
default ctx (B only),institution,rmse,0.1249674547591979,0.0121359318716044
default ctx (B only),retail,rmse,0.3195258024769594,0.0300179715514526
default ctx (B only),foreign,mse,0.0609502647427407,0.008309918991817
default ctx (B only),institution,mse,0.0157608726837756,0.0030266092126797
default ctx (B only),retail,mse,0.1029777930953628,0.018602098353821
default ctx (B only),foreign,direction_accuracy,0.6303614934207848,0.0376514054774354
default ctx (B only),institution,direction_accuracy,0.5296544385717027,0.0330903784227802
default ctx (B only),retail,direction_accuracy,0.5896087358487274,0.0546958415011284
default ctx (B only),foreign,correlation,0.2610825702027339,0.109901288790299
default ctx (B only),institution,correlation,0.0670538105138204,0.0732044820286151
default ctx (B only),retail,correlation,0.233032968362737,0.1140797415697276
default ctx (B only),foreign,saturation_rate,0.0,0.0
default ctx (B only),institution,saturation_rate,0.0,0.0
default ctx (B only),retail,saturation_rate,0.0,0.0
vkospi ctx (B only),foreign,mae,0.1927668736476697,0.0142162977149819
vkospi ctx (B only),institution,mae,0.0945293589738667,0.0084039619592275
vkospi ctx (B only),retail,mae,0.2682036901644659,0.026355142043585
vkospi ctx (B only),foreign,rmse,0.2418960665665366,0.0159041383235477
vkospi ctx (B only),institution,rmse,0.1249778823613401,0.0121334710261273
vkospi ctx (B only),retail,rmse,0.3195992005285313,0.0271393665749156
vkospi ctx (B only),foreign,mse,0.0587610277113809,0.0076775622784296
vkospi ctx (B only),institution,mse,0.0157634206182414,0.0030242343394407
vkospi ctx (B only),retail,mse,0.1028638265250509,0.0168653850676022
vkospi ctx (B only),foreign,direction_accuracy,0.6329303818445061,0.0469297858168717
vkospi ctx (B only),institution,direction_accuracy,0.5142219198632407,0.0364078323750121
vkospi ctx (B only),retail,direction_accuracy,0.5982155005494794,0.0562004976696756
vkospi ctx (B only),foreign,correlation,0.2953567998656295,0.0887996043948832
vkospi ctx (B only),institution,correlation,0.055152734640171,0.0739742833786447
vkospi ctx (B only),retail,correlation,0.2305021334541947,0.1009592461298778
vkospi ctx (B only),foreign,saturation_rate,0.0,0.0
vkospi ctx (B only),institution,saturation_rate,0.0,0.0
vkospi ctx (B only),retail,saturation_rate,0.0,0.0
default ctx + alpha,foreign,mae,0.1951171707231271,0.0184914257966634
default ctx + alpha,institution,mae,0.0944938742080837,0.0084200118704173
default ctx + alpha,retail,mae,0.2641904412160955,0.0288699706132229
default ctx + alpha,foreign,rmse,0.2462035540591277,0.0207149719894593
default ctx + alpha,institution,rmse,0.1249790005752664,0.0120956375159311
default ctx + alpha,retail,rmse,0.3176914071413568,0.0299723504593752
default ctx + alpha,foreign,mse,0.0610357643166582,0.0101629542418213
default ctx + alpha,institution,mse,0.0157628038217777,0.0030175699070768
default ctx + alpha,retail,mse,0.1018062088125803,0.0185315807987327
default ctx + alpha,foreign,direction_accuracy,0.6355626493624296,0.0391846537185034
default ctx + alpha,institution,direction_accuracy,0.542355260174089,0.0380713608328538
default ctx + alpha,retail,direction_accuracy,0.6080886842151167,0.0435218721115798
default ctx + alpha,foreign,correlation,0.2782915904845388,0.1098609875278683
default ctx + alpha,institution,correlation,0.0677111464449283,0.0644415830757266
default ctx + alpha,retail,correlation,0.2446123484015933,0.1184063704137761
default ctx + alpha,foreign,saturation_rate,0.0,0.0
default ctx + alpha,institution,saturation_rate,0.0,0.0
default ctx + alpha,retail,saturation_rate,0.0,0.0
vkospi ctx + alpha,foreign,mae,0.1932356747078736,0.0153167126382876
vkospi ctx + alpha,institution,mae,0.0944192676430395,0.0084776008517684
vkospi ctx + alpha,retail,mae,0.2695405036134812,0.0269655120972287
vkospi ctx + alpha,foreign,rmse,0.2430583137384701,0.0182622105980919
vkospi ctx + alpha,institution,rmse,0.1249315722871297,0.0122073802559661
vkospi ctx + alpha,retail,rmse,0.3212163984024517,0.0277172296048744
vkospi ctx + alpha,foreign,mse,0.0594034409169636,0.0089965230179492
vkospi ctx + alpha,institution,mse,0.0157536063283433,0.0030415658527745
vkospi ctx + alpha,retail,mse,0.1039311473125681,0.0172500776149593
vkospi ctx + alpha,foreign,direction_accuracy,0.6397491583372582,0.0466081622955058
vkospi ctx + alpha,institution,direction_accuracy,0.5233770009477792,0.0336334002346753
vkospi ctx + alpha,retail,direction_accuracy,0.5996993853972241,0.0529905403008299
vkospi ctx + alpha,foreign,correlation,0.2887567589669778,0.0991994451006995
vkospi ctx + alpha,institution,correlation,0.0606983100060016,0.070122035863469
vkospi ctx + alpha,retail,correlation,0.2237934415551589,0.1065529783319165
vkospi ctx + alpha,foreign,saturation_rate,0.0,0.0
vkospi ctx + alpha,institution,saturation_rate,0.0,0.0
vkospi ctx + alpha,retail,saturation_rate,0.0,0.0
